"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","3.1％"
"00：30～01：00","3","0","3","9.4％"
"01：00～01：30","1","0","1","3.1％"
"01：30～02：00","1","0","1","3.1％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","3.1％"
"04：30～05：00","1","0","1","3.1％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","18","0","18","56.3％"
"12：00～16：00","4","0","4","12.5％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","6.3％"
"合計","32","0","32","100％"
