"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","0","0","0.0％"
"00：30～01：00","2","0","2","8.7％"
"01：00～01：30","1","0","1","4.3％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","1","0","1","4.3％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","2","0","2","8.7％"
"08：00～12：00","6","0","6","26.1％"
"12：00～16：00","4","0","4","17.4％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","5","0","5","21.7％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","8.7％"
"合計","23","0","23","100％"
