"駐車時間","一般","定期","合計","比率"
"00：00～00：30","2","0","2","4.9％"
"00：30～01：00","1","0","1","2.4％"
"01：00～01：30","1","0","1","2.4％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","1","0","1","2.4％"
"02：30～03：00","1","0","1","2.4％"
"03：00～03：30","1","0","1","2.4％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","2.4％"
"04：30～05：00","1","0","1","2.4％"
"05：00～05：30","1","0","1","2.4％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","1","0","1","2.4％"
"07：00～08：00","1","0","1","2.4％"
"08：00～12：00","17","0","17","41.5％"
"12：00～16：00","8","0","8","19.5％"
"16：00～20：00","1","0","1","2.4％"
"20：00～24：00","1","0","1","2.4％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","4.9％"
"合計","41","0","41","100％"
