"駐車時間","一般","定期","合計","比率"
"00：00～00：30","2","0","2","4.9％"
"00：30～01：00","2","0","2","4.9％"
"01：00～01：30","2","0","2","4.9％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","1","0","1","2.4％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","1","0","1","2.4％"
"04：00～04：30","1","0","1","2.4％"
"04：30～05：00","1","0","1","2.4％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","1","0","1","2.4％"
"06：00～07：00","1","0","1","2.4％"
"07：00～08：00","1","0","1","2.4％"
"08：00～12：00","14","0","14","34.1％"
"12：00～16：00","7","0","7","17.1％"
"16：00～20：00","3","0","3","7.3％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","2","0","2","4.9％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","4.9％"
"合計","41","0","41","100％"
