"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","2.6％"
"00：30～01：00","0","0","0","0.0％"
"01：00～01：30","3","0","3","7.9％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","1","0","1","2.6％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","2.6％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","1","0","1","2.6％"
"05：30～06：00","1","0","1","2.6％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","1","0","1","2.6％"
"08：00～12：00","16","0","16","42.1％"
"12：00～16：00","5","0","5","13.2％"
"16：00～20：00","4","0","4","10.5％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","2","0","2","5.3％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","5.3％"
"合計","38","0","38","100％"
