"駐車時間","一般","定期","合計","比率"
"00：00～00：30","4","0","4","10.8％"
"00：30～01：00","2","0","2","5.4％"
"01：00～01：30","0","0","0","0.0％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","1","0","1","2.7％"
"02：30～03：00","1","0","1","2.7％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","1","0","1","2.7％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","1","0","1","2.7％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","1","0","1","2.7％"
"08：00～12：00","16","0","16","43.2％"
"12：00～16：00","3","0","3","8.1％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","1","0","1","2.7％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","2","0","2","5.4％"
"48：00～","4","0","4","10.8％"
"合計","37","0","37","100％"
