"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","3.6％"
"00：30～01：00","1","0","1","3.6％"
"01：00～01：30","1","0","1","3.6％"
"01：30～02：00","2","0","2","7.1％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","2","0","2","7.1％"
"03：00～03：30","2","0","2","7.1％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","1","0","1","3.6％"
"05：00～05：30","1","0","1","3.6％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","1","0","1","3.6％"
"07：00～08：00","2","0","2","7.1％"
"08：00～12：00","5","0","5","17.9％"
"12：00～16：00","6","0","6","21.4％"
"16：00～20：00","1","0","1","3.6％"
"20：00～24：00","1","0","1","3.6％"
"24：00～36：00","1","0","1","3.6％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","0","0","0","0.0％"
"合計","28","0","28","100％"
