"駐車時間","一般","定期","合計","比率"
"00：00～00：30","2","0","2","5.6％"
"00：30～01：00","3","0","3","8.3％"
"01：00～01：30","1","0","1","2.8％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","1","0","1","2.8％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","1","0","1","2.8％"
"05：00～05：30","1","0","1","2.8％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","1","0","1","2.8％"
"08：00～12：00","14","0","14","38.9％"
"12：00～16：00","5","0","5","13.9％"
"16：00～20：00","2","0","2","5.6％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","2","0","2","5.6％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","3","0","3","8.3％"
"合計","36","0","36","100％"
