"駐車時間","一般","定期","合計","比率"
"00：00～00：30","3","0","3","7.7％"
"00：30～01：00","1","0","1","2.6％"
"01：00～01：30","5","0","5","12.8％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","1","0","1","2.6％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","2","0","2","5.1％"
"05：30～06：00","1","0","1","2.6％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","16","0","16","41.0％"
"12：00～16：00","7","0","7","17.9％"
"16：00～20：00","2","0","2","5.1％"
"20：00～24：00","1","0","1","2.6％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","0","0","0","0.0％"
"合計","39","0","39","100％"
