"駐車時間","一般","定期","合計","比率"
"00：00～00：30","4","0","4","10.8％"
"00：30～01：00","2","0","2","5.4％"
"01：00～01：30","5","0","5","13.5％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","2","0","2","5.4％"
"02：30～03：00","1","0","1","2.7％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","4","0","4","10.8％"
"08：00～12：00","7","0","7","18.9％"
"12：00～16：00","6","0","6","16.2％"
"16：00～20：00","2","0","2","5.4％"
"20：00～24：00","2","0","2","5.4％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","1","0","1","2.7％"
"48：00～","0","1","1","2.7％"
"合計","36","1","37","100％"
