"駐車時間","一般","定期","合計","比率"
"00：00～00：30","6","0","6","13.3％"
"00：30～01：00","4","0","4","8.9％"
"01：00～01：30","1","0","1","2.2％"
"01：30～02：00","4","0","4","8.9％"
"02：00～02：30","4","0","4","8.9％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","1","0","1","2.2％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","1","0","1","2.2％"
"05：00～05：30","2","0","2","4.4％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","1","0","1","2.2％"
"07：00～08：00","1","0","1","2.2％"
"08：00～12：00","6","0","6","13.3％"
"12：00～16：00","4","0","4","8.9％"
"16：00～20：00","3","0","3","6.7％"
"20：00～24：00","1","0","1","2.2％"
"24：00～36：00","1","0","1","2.2％"
"36：00～48：00","3","0","3","6.7％"
"48：00～","2","0","2","4.4％"
"合計","45","0","45","100％"
