"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","2.2％"
"00：30～01：00","8","0","8","17.4％"
"01：00～01：30","6","0","6","13.0％"
"01：30～02：00","3","0","3","6.5％"
"02：00～02：30","3","0","3","6.5％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","2","0","2","4.3％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","2.2％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","1","0","1","2.2％"
"05：30～06：00","1","0","1","2.2％"
"06：00～07：00","2","0","2","4.3％"
"07：00～08：00","1","0","1","2.2％"
"08：00～12：00","9","0","9","19.6％"
"12：00～16：00","5","0","5","10.9％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","1","0","1","2.2％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","1","0","1","2.2％"
"48：00～","1","0","1","2.2％"
"合計","46","0","46","100％"
