"駐車時間","一般","定期","合計","比率"
"00：00～00：30","3","0","3","5.7％"
"00：30～01：00","6","0","6","11.3％"
"01：00～01：30","6","0","6","11.3％"
"01：30～02：00","1","0","1","1.9％"
"02：00～02：30","4","0","4","7.5％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","1","0","1","1.9％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","3","0","3","5.7％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","2","0","2","3.8％"
"07：00～08：00","1","0","1","1.9％"
"08：00～12：00","16","0","16","30.2％"
"12：00～16：00","7","0","7","13.2％"
"16：00～20：00","1","0","1","1.9％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","1","0","1","1.9％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","1","0","1","1.9％"
"合計","53","0","53","100％"
