"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","2.7％"
"00：30～01：00","4","0","4","10.8％"
"01：00～01：30","1","0","1","2.7％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","1","0","1","2.7％"
"03：00～03：30","1","0","1","2.7％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","2.7％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","2","0","2","5.4％"
"05：30～06：00","2","0","2","5.4％"
"06：00～07：00","1","0","1","2.7％"
"07：00～08：00","1","0","1","2.7％"
"08：00～12：00","7","0","7","18.9％"
"12：00～16：00","8","0","8","21.6％"
"16：00～20：00","2","0","2","5.4％"
"20：00～24：00","1","0","1","2.7％"
"24：00～36：00","2","0","2","5.4％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","5.4％"
"合計","37","0","37","100％"
