"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","2.9％"
"00：30～01：00","2","0","2","5.9％"
"01：00～01：30","1","0","1","2.9％"
"01：30～02：00","2","0","2","5.9％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","1","0","1","2.9％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","1","0","1","2.9％"
"05：00～05：30","1","0","1","2.9％"
"05：30～06：00","1","0","1","2.9％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","14","0","14","41.2％"
"12：00～16：00","7","0","7","20.6％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","2","0","2","5.9％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","0","1","1","2.9％"
"合計","33","1","34","100％"
