"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","1","1","2.1％"
"00：30～01：00","3","0","3","6.4％"
"01：00～01：30","3","0","3","6.4％"
"01：30～02：00","3","0","3","6.4％"
"02：00～02：30","1","0","1","2.1％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","2.1％"
"04：30～05：00","1","0","1","2.1％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","1","0","1","2.1％"
"06：00～07：00","2","0","2","4.3％"
"07：00～08：00","1","0","1","2.1％"
"08：00～12：00","18","0","18","38.3％"
"12：00～16：00","6","0","6","12.8％"
"16：00～20：00","1","0","1","2.1％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","2","0","2","4.3％"
"36：00～48：00","2","0","2","4.3％"
"48：00～","1","0","1","2.1％"
"合計","46","1","47","100％"
