"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","1","2","4.5％"
"00：30～01：00","2","0","2","4.5％"
"01：00～01：30","2","0","2","4.5％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","4","0","4","9.1％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","1","0","1","2.3％"
"04：00～04：30","2","0","2","4.5％"
"04：30～05：00","1","0","1","2.3％"
"05：00～05：30","2","0","2","4.5％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","1","0","1","2.3％"
"07：00～08：00","1","0","1","2.3％"
"08：00～12：00","20","0","20","45.5％"
"12：00～16：00","5","0","5","11.4％"
"16：00～20：00","1","0","1","2.3％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","0","0","0","0.0％"
"合計","43","1","44","100％"
