"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","0","0","0.0％"
"00：30～01：00","1","0","1","2.9％"
"01：00～01：30","3","0","3","8.6％"
"01：30～02：00","2","0","2","5.7％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","2","0","2","5.7％"
"08：00～12：00","17","0","17","48.6％"
"12：00～16：00","7","0","7","20.0％"
"16：00～20：00","1","0","1","2.9％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","2","0","2","5.7％"
"合計","35","0","35","100％"
