"駐車時間","一般","定期","合計","比率"
"00：00～00：30","3","0","3","9.1％"
"00：30～01：00","2","0","2","6.1％"
"01：00～01：30","4","0","4","12.1％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","1","0","1","3.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","1","0","1","3.0％"
"05：30～06：00","1","0","1","3.0％"
"06：00～07：00","3","0","3","9.1％"
"07：00～08：00","2","0","2","6.1％"
"08：00～12：00","5","0","5","15.2％"
"12：00～16：00","5","0","5","15.2％"
"16：00～20：00","3","0","3","9.1％"
"20：00～24：00","1","0","1","3.0％"
"24：00～36：00","2","0","2","6.1％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","0","0","0","0.0％"
"合計","33","0","33","100％"
