"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","2.2％"
"00：30～01：00","2","0","2","4.4％"
"01：00～01：30","4","0","4","8.9％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","1","0","1","2.2％"
"03：00～03：30","2","0","2","4.4％"
"03：30～04：00","3","0","3","6.7％"
"04：00～04：30","1","0","1","2.2％"
"04：30～05：00","1","0","1","2.2％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","1","0","1","2.2％"
"06：00～07：00","1","0","1","2.2％"
"07：00～08：00","1","0","1","2.2％"
"08：00～12：00","16","0","16","35.6％"
"12：00～16：00","7","0","7","15.6％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","2","0","2","4.4％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","1","1","2","4.4％"
"合計","44","1","45","100％"
