"駐車時間","一般","定期","合計","比率"
"00：00～00：30","2","0","2","4.7％"
"00：30～01：00","5","0","5","11.6％"
"01：00～01：30","1","0","1","2.3％"
"01：30～02：00","1","0","1","2.3％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","1","0","1","2.3％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","2","0","2","4.7％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","1","0","1","2.3％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","1","0","1","2.3％"
"08：00～12：00","16","0","16","37.2％"
"12：00～16：00","4","0","4","9.3％"
"16：00～20：00","2","0","2","4.7％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","1","0","1","2.3％"
"36：00～48：00","2","0","2","4.7％"
"48：00～","4","0","4","9.3％"
"合計","43","0","43","100％"
