"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","0","0","0.0％"
"00：30～01：00","0","0","0","0.0％"
"01：00～01：30","1","0","1","3.7％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","3.7％"
"04：30～05：00","1","0","1","3.7％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","1","0","1","3.7％"
"07：00～08：00","1","0","1","3.7％"
"08：00～12：00","11","0","11","40.7％"
"12：00～16：00","3","0","3","11.1％"
"16：00～20：00","1","0","1","3.7％"
"20：00～24：00","2","0","2","7.4％"
"24：00～36：00","1","0","1","3.7％"
"36：00～48：00","1","0","1","3.7％"
"48：00～","3","0","3","11.1％"
"合計","27","0","27","100％"
