"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","0","0","0.0％"
"00：30～01：00","2","0","2","4.4％"
"01：00～01：30","2","0","2","4.4％"
"01：30～02：00","2","0","2","4.4％"
"02：00～02：30","1","0","1","2.2％"
"02：30～03：00","1","0","1","2.2％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","1","0","1","2.2％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","1","0","1","2.2％"
"05：30～06：00","1","0","1","2.2％"
"06：00～07：00","1","0","1","2.2％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","21","0","21","46.7％"
"12：00～16：00","9","0","9","20.0％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","2","0","2","4.4％"
"36：00～48：00","1","0","1","2.2％"
"48：00～","0","0","0","0.0％"
"合計","45","0","45","100％"
