"駐車時間","一般","定期","合計","比率"
"00：00～00：30","4","0","4","8.7％"
"00：30～01：00","5","0","5","10.9％"
"01：00～01：30","2","0","2","4.3％"
"01：30～02：00","2","0","2","4.3％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","1","0","1","2.2％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","3","0","3","6.5％"
"04：30～05：00","2","0","2","4.3％"
"05：00～05：30","1","0","1","2.2％"
"05：30～06：00","1","0","1","2.2％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","1","0","1","2.2％"
"08：00～12：00","13","0","13","28.3％"
"12：00～16：00","5","0","5","10.9％"
"16：00～20：00","4","0","4","8.7％"
"20：00～24：00","2","0","2","4.3％"
"24：00～36：00","0","0","0","0.0％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","0","0","0","0.0％"
"合計","46","0","46","100％"
